Product,Metric,month,Copyright,Counterfeit,Trademark,,,
Facebook,content_removed,1,"277,394","80,674","16,944",,,
Facebook,removal_rate,1,69.23%,82.45%,54.45%,,,
Facebook,reports,1,"62,331","14,773","6,859",,,
Instagram,content_removed,1,"203,885","61,795","18,536",,,
Instagram,removal_rate,1,64.05%,80.79%,41.29%,,,
Instagram,reports,1,"33,590","9,084","7,295",,,
Facebook,content_removed,2,"254,542","61,753","28,701",,,
Facebook,removal_rate,2,70.75%,77.97%,55.96%,,,
Facebook,reports,2,"55,118","9,496","6,789",,,
Instagram,content_removed,2,"230,640","51,607","17,752",,,
Instagram,removal_rate,2,64.43%,72.30%,43.24%,,,
Instagram,reports,2,"32,854","5,726","6,575",,,
Facebook,content_removed,3,"270,770","76,231","25,869",,,
Facebook,removal_rate,3,71.72%,73.82%,48.49%,,,
Facebook,reports,3,"60,020","8,499","9,263",,,
Instagram,content_removed,3,"244,231","54,660","17,886",,,
Instagram,removal_rate,3,64.68%,70.75%,38.52%,,,
Instagram,reports,3,"33,621","6,663","7,511",,,
Facebook,content_removed,4,"280,879","83,139","21,537",,,
Facebook,removal_rate,4,71.56%,80.15%,46.25%,,,
Facebook,reports,4,"59,721","9,764","9,075",,,
Instagram,content_removed,4,"301,921","66,599","17,477",,,
Instagram,removal_rate,4,65.82%,80.66%,34.37%,,,
Instagram,reports,4,"31,454","5,521","7,359",,,
Facebook,content_removed,5,"295,043","86,779","28,011",,,
Facebook,removal_rate,5,72.90%,68.12%,44.52%,,,
Facebook,reports,5,"61,701","11,101","9,341",,,
Instagram,content_removed,5,"283,366","67,075","17,234",,,
Instagram,removal_rate,5,64.87%,70.98%,36.86%,,,
Instagram,reports,5,"33,858","6,655","8,555",,,
Facebook,content_removed,6,"315,049","73,838","21,278",,,
Facebook,removal_rate,6,71.57%,67.94%,42.74%,,,
Facebook,reports,6,"68,205","8,710","8,813",,,
Instagram,content_removed,6,"276,673","57,577","23,997",,,
Instagram,removal_rate,6,67.15%,66.80%,30.41%,,,
Instagram,reports,6,"36,363","5,590","9,066",,,
,,,,,,,,
,,,,,,,,